"tensor(3.6716, device='cuda:0')","tensor(-2.5060, device='cuda:0')","tensor(0.1767, device='cuda:0')"
"tensor(4.4485, device='cuda:0')","tensor(-3.2724, device='cuda:0')","tensor(0.3292, device='cuda:0')"
"tensor(0.4453, device='cuda:0')","tensor(-0.3859, device='cuda:0')","tensor(1.0361, device='cuda:0')"
"tensor(3.8911, device='cuda:0')","tensor(-3.0151, device='cuda:0')","tensor(0.5466, device='cuda:0')"
"tensor(3.8974, device='cuda:0')","tensor(-2.9835, device='cuda:0')","tensor(0.6910, device='cuda:0')"
"tensor(4.7767, device='cuda:0')","tensor(-3.5724, device='cuda:0')","tensor(0.3899, device='cuda:0')"
"tensor(3.5408, device='cuda:0')","tensor(-3.4755, device='cuda:0')","tensor(1.6813, device='cuda:0')"
"tensor(1.5815, device='cuda:0')","tensor(-1.0194, device='cuda:0')","tensor(0.4370, device='cuda:0')"
"tensor(4.1069, device='cuda:0')","tensor(-3.3677, device='cuda:0')","tensor(1.0406, device='cuda:0')"
"tensor(0.2380, device='cuda:0')","tensor(-1.5705, device='cuda:0')","tensor(3.2816, device='cuda:0')"
"tensor(2.9090, device='cuda:0')","tensor(-1.8466, device='cuda:0')","tensor(-0.0259, device='cuda:0')"
"tensor(1.9591, device='cuda:0')","tensor(-1.8492, device='cuda:0')","tensor(1.5156, device='cuda:0')"
"tensor(0.8759, device='cuda:0')","tensor(-0.8842, device='cuda:0')","tensor(1.5121, device='cuda:0')"
"tensor(4.6099, device='cuda:0')","tensor(-3.6222, device='cuda:0')","tensor(0.7004, device='cuda:0')"
"tensor(5.1813, device='cuda:0')","tensor(-3.9231, device='cuda:0')","tensor(0.3013, device='cuda:0')"
"tensor(5.7558, device='cuda:0')","tensor(-4.5248, device='cuda:0')","tensor(0.5798, device='cuda:0')"
"tensor(4.8623, device='cuda:0')","tensor(-3.7683, device='cuda:0')","tensor(0.4569, device='cuda:0')"
"tensor(1.3998, device='cuda:0')","tensor(-0.5134, device='cuda:0')","tensor(-0.0550, device='cuda:0')"
"tensor(1.6654, device='cuda:0')","tensor(-1.0038, device='cuda:0')","tensor(0.2359, device='cuda:0')"
"tensor(3.7722, device='cuda:0')","tensor(-3.1298, device='cuda:0')","tensor(1.1039, device='cuda:0')"
"tensor(4.0955, device='cuda:0')","tensor(-3.2354, device='cuda:0')","tensor(0.8291, device='cuda:0')"
"tensor(4.3028, device='cuda:0')","tensor(-3.1887, device='cuda:0')","tensor(0.3771, device='cuda:0')"
"tensor(3.2532, device='cuda:0')","tensor(-2.5529, device='cuda:0')","tensor(0.8758, device='cuda:0')"
"tensor(4.8693, device='cuda:0')","tensor(-3.6960, device='cuda:0')","tensor(0.3885, device='cuda:0')"
"tensor(4.7453, device='cuda:0')","tensor(-3.7108, device='cuda:0')","tensor(0.3183, device='cuda:0')"
"tensor(2.6583, device='cuda:0')","tensor(-3.1694, device='cuda:0')","tensor(2.7873, device='cuda:0')"
"tensor(2.7673, device='cuda:0')","tensor(-3.2919, device='cuda:0')","tensor(2.4138, device='cuda:0')"
"tensor(5.1948, device='cuda:0')","tensor(-3.8537, device='cuda:0')","tensor(0.1588, device='cuda:0')"
"tensor(3.1254, device='cuda:0')","tensor(-1.9469, device='cuda:0')","tensor(-0.2555, device='cuda:0')"
"tensor(2.4363, device='cuda:0')","tensor(-2.1563, device='cuda:0')","tensor(1.1307, device='cuda:0')"
"tensor(2.2758, device='cuda:0')","tensor(-2.0879, device='cuda:0')","tensor(1.5352, device='cuda:0')"
"tensor(4.0946, device='cuda:0')","tensor(-3.5099, device='cuda:0')","tensor(1.1247, device='cuda:0')"
"tensor(4.2450, device='cuda:0')","tensor(-3.3517, device='cuda:0')","tensor(0.7655, device='cuda:0')"
"tensor(2.8427, device='cuda:0')","tensor(-1.5326, device='cuda:0')","tensor(-0.5540, device='cuda:0')"
"tensor(5.3144, device='cuda:0')","tensor(-3.7423, device='cuda:0')","tensor(-0.2289, device='cuda:0')"
"tensor(4.6021, device='cuda:0')","tensor(-3.2012, device='cuda:0')","tensor(-0.3238, device='cuda:0')"
"tensor(4.7966, device='cuda:0')","tensor(-3.5477, device='cuda:0')","tensor(0.1718, device='cuda:0')"
"tensor(5.0859, device='cuda:0')","tensor(-4.0600, device='cuda:0')","tensor(0.6753, device='cuda:0')"
"tensor(3.1556, device='cuda:0')","tensor(-2.8259, device='cuda:0')","tensor(1.3289, device='cuda:0')"
"tensor(4.8889, device='cuda:0')","tensor(-3.6682, device='cuda:0')","tensor(0.2335, device='cuda:0')"
"tensor(0.8528, device='cuda:0')","tensor(-2.6774, device='cuda:0')","tensor(4.0692, device='cuda:0')"
"tensor(3.7247, device='cuda:0')","tensor(-3.2034, device='cuda:0')","tensor(1.2878, device='cuda:0')"
"tensor(4.5718, device='cuda:0')","tensor(-3.5332, device='cuda:0')","tensor(0.6102, device='cuda:0')"
"tensor(3.7714, device='cuda:0')","tensor(-3.1800, device='cuda:0')","tensor(1.1787, device='cuda:0')"
"tensor(3.5533, device='cuda:0')","tensor(-3.1428, device='cuda:0')","tensor(1.4341, device='cuda:0')"
"tensor(2.7657, device='cuda:0')","tensor(-2.2927, device='cuda:0')","tensor(0.8101, device='cuda:0')"
"tensor(4.3931, device='cuda:0')","tensor(-3.2774, device='cuda:0')","tensor(0.4309, device='cuda:0')"
"tensor(1.7136, device='cuda:0')","tensor(-2.6321, device='cuda:0')","tensor(3.0442, device='cuda:0')"
"tensor(4.0019, device='cuda:0')","tensor(-3.2835, device='cuda:0')","tensor(1.0311, device='cuda:0')"
"tensor(4.0539, device='cuda:0')","tensor(-3.1044, device='cuda:0')","tensor(0.6622, device='cuda:0')"
"tensor(5.4746, device='cuda:0')","tensor(-4.0784, device='cuda:0')","tensor(0.1679, device='cuda:0')"
"tensor(4.4320, device='cuda:0')","tensor(-3.4745, device='cuda:0')","tensor(0.7366, device='cuda:0')"
"tensor(4.0471, device='cuda:0')","tensor(-3.3447, device='cuda:0')","tensor(1.0893, device='cuda:0')"
"tensor(2.1512, device='cuda:0')","tensor(-2.6384, device='cuda:0')","tensor(2.4852, device='cuda:0')"
"tensor(1.8488, device='cuda:0')","tensor(-1.8170, device='cuda:0')","tensor(1.5461, device='cuda:0')"
"tensor(3.8714, device='cuda:0')","tensor(-3.4333, device='cuda:0')","tensor(1.5588, device='cuda:0')"
"tensor(4.4635, device='cuda:0')","tensor(-3.4920, device='cuda:0')","tensor(0.5531, device='cuda:0')"
"tensor(2.1812, device='cuda:0')","tensor(-1.2139, device='cuda:0')","tensor(0.2494, device='cuda:0')"
"tensor(1.3630, device='cuda:0')","tensor(-1.3941, device='cuda:0')","tensor(1.5394, device='cuda:0')"
"tensor(3.9869, device='cuda:0')","tensor(-3.0554, device='cuda:0')","tensor(0.5681, device='cuda:0')"
"tensor(1.4386, device='cuda:0')","tensor(-3.2585, device='cuda:0')","tensor(4.1334, device='cuda:0')"
"tensor(4.4103, device='cuda:0')","tensor(-3.4114, device='cuda:0')","tensor(0.5930, device='cuda:0')"
"tensor(3.6796, device='cuda:0')","tensor(-2.8828, device='cuda:0')","tensor(0.7713, device='cuda:0')"
"tensor(3.8490, device='cuda:0')","tensor(-3.2307, device='cuda:0')","tensor(1.1605, device='cuda:0')"
"tensor(4.9716, device='cuda:0')","tensor(-3.5788, device='cuda:0')","tensor(0.1261, device='cuda:0')"
"tensor(3.1309, device='cuda:0')","tensor(-3.1271, device='cuda:0')","tensor(1.8976, device='cuda:0')"
"tensor(3.7732, device='cuda:0')","tensor(-2.9398, device='cuda:0')","tensor(0.5919, device='cuda:0')"
"tensor(4.1957, device='cuda:0')","tensor(-3.4369, device='cuda:0')","tensor(0.5533, device='cuda:0')"
"tensor(3.8626, device='cuda:0')","tensor(-3.7187, device='cuda:0')","tensor(1.8908, device='cuda:0')"
"tensor(4.7758, device='cuda:0')","tensor(-3.7216, device='cuda:0')","tensor(0.6304, device='cuda:0')"
"tensor(5.0366, device='cuda:0')","tensor(-3.6681, device='cuda:0')","tensor(0.0384, device='cuda:0')"
"tensor(3.8104, device='cuda:0')","tensor(-2.8599, device='cuda:0')","tensor(0.2180, device='cuda:0')"
"tensor(3.5422, device='cuda:0')","tensor(-2.2012, device='cuda:0')","tensor(-0.4768, device='cuda:0')"
"tensor(4.8112, device='cuda:0')","tensor(-3.4627, device='cuda:0')","tensor(0.2606, device='cuda:0')"
"tensor(3.2706, device='cuda:0')","tensor(-3.0897, device='cuda:0')","tensor(1.7280, device='cuda:0')"
"tensor(1.9244, device='cuda:0')","tensor(-3.0793, device='cuda:0')","tensor(3.2463, device='cuda:0')"
"tensor(4.2249, device='cuda:0')","tensor(-3.1038, device='cuda:0')","tensor(0.4116, device='cuda:0')"
"tensor(4.5229, device='cuda:0')","tensor(-3.6035, device='cuda:0')","tensor(0.6451, device='cuda:0')"
"tensor(3.5708, device='cuda:0')","tensor(-2.8949, device='cuda:0')","tensor(1.0742, device='cuda:0')"
"tensor(2.9269, device='cuda:0')","tensor(-2.8055, device='cuda:0')","tensor(1.6345, device='cuda:0')"
"tensor(5.3346, device='cuda:0')","tensor(-4.0708, device='cuda:0')","tensor(0.3676, device='cuda:0')"
"tensor(4.1120, device='cuda:0')","tensor(-3.1412, device='cuda:0')","tensor(0.6022, device='cuda:0')"
"tensor(2.0004, device='cuda:0')","tensor(-2.7272, device='cuda:0')","tensor(2.7122, device='cuda:0')"
"tensor(3.0691, device='cuda:0')","tensor(-3.0043, device='cuda:0')","tensor(1.6127, device='cuda:0')"
"tensor(3.2005, device='cuda:0')","tensor(-2.5246, device='cuda:0')","tensor(0.9153, device='cuda:0')"
"tensor(5.4876, device='cuda:0')","tensor(-4.0348, device='cuda:0')","tensor(0.1060, device='cuda:0')"
"tensor(3.6019, device='cuda:0')","tensor(-3.1812, device='cuda:0')","tensor(1.4041, device='cuda:0')"
"tensor(3.8454, device='cuda:0')","tensor(-2.9478, device='cuda:0')","tensor(0.4115, device='cuda:0')"
"tensor(4.4404, device='cuda:0')","tensor(-3.2957, device='cuda:0')","tensor(0.4185, device='cuda:0')"
"tensor(4.6638, device='cuda:0')","tensor(-3.4856, device='cuda:0')","tensor(0.2285, device='cuda:0')"
"tensor(3.9823, device='cuda:0')","tensor(-3.3635, device='cuda:0')","tensor(1.1880, device='cuda:0')"
"tensor(5.3637, device='cuda:0')","tensor(-4.2186, device='cuda:0')","tensor(0.7017, device='cuda:0')"
"tensor(3.9412, device='cuda:0')","tensor(-3.2904, device='cuda:0')","tensor(1.1426, device='cuda:0')"
"tensor(4.3081, device='cuda:0')","tensor(-3.4683, device='cuda:0')","tensor(0.9072, device='cuda:0')"
"tensor(3.6264, device='cuda:0')","tensor(-2.9411, device='cuda:0')","tensor(1.0632, device='cuda:0')"
"tensor(4.3233, device='cuda:0')","tensor(-3.3394, device='cuda:0')","tensor(0.1562, device='cuda:0')"
"tensor(4.9360, device='cuda:0')","tensor(-3.3693, device='cuda:0')","tensor(-0.0845, device='cuda:0')"
"tensor(1.8539, device='cuda:0')","tensor(-1.9451, device='cuda:0')","tensor(1.5826, device='cuda:0')"
"tensor(4.6577, device='cuda:0')","tensor(-3.5560, device='cuda:0')","tensor(0.5343, device='cuda:0')"
"tensor(0.0182, device='cuda:0')","tensor(-1.5415, device='cuda:0')","tensor(3.5063, device='cuda:0')"
"tensor(4.0393, device='cuda:0')","tensor(-3.1154, device='cuda:0')","tensor(0.6656, device='cuda:0')"
"tensor(3.5320, device='cuda:0')","tensor(-3.1436, device='cuda:0')","tensor(1.5655, device='cuda:0')"
"tensor(0.6248, device='cuda:0')","tensor(-2.4942, device='cuda:0')","tensor(4.0722, device='cuda:0')"
"tensor(5.0405, device='cuda:0')","tensor(-3.7474, device='cuda:0')","tensor(0.2625, device='cuda:0')"
"tensor(1.3263, device='cuda:0')","tensor(-1.5635, device='cuda:0')","tensor(1.5237, device='cuda:0')"
"tensor(4.8209, device='cuda:0')","tensor(-4.5001, device='cuda:0')","tensor(1.7482, device='cuda:0')"
"tensor(5.1607, device='cuda:0')","tensor(-3.8705, device='cuda:0')","tensor(0.2885, device='cuda:0')"
"tensor(4.7885, device='cuda:0')","tensor(-3.3655, device='cuda:0')","tensor(0.0852, device='cuda:0')"
"tensor(2.6750, device='cuda:0')","tensor(-1.7732, device='cuda:0')","tensor(-0.0225, device='cuda:0')"
"tensor(4.1084, device='cuda:0')","tensor(-3.3956, device='cuda:0')","tensor(0.8214, device='cuda:0')"
"tensor(4.2226, device='cuda:0')","tensor(-3.3764, device='cuda:0')","tensor(0.8415, device='cuda:0')"
"tensor(1.9175, device='cuda:0')","tensor(-3.0664, device='cuda:0')","tensor(3.3211, device='cuda:0')"
"tensor(4.1518, device='cuda:0')","tensor(-3.2738, device='cuda:0')","tensor(0.7440, device='cuda:0')"
"tensor(2.7829, device='cuda:0')","tensor(-3.0193, device='cuda:0')","tensor(2.1829, device='cuda:0')"
"tensor(5.7759, device='cuda:0')","tensor(-4.1962, device='cuda:0')","tensor(-0.1138, device='cuda:0')"
"tensor(4.1857, device='cuda:0')","tensor(-3.8170, device='cuda:0')","tensor(1.4217, device='cuda:0')"
"tensor(4.1436, device='cuda:0')","tensor(-3.0674, device='cuda:0')","tensor(0.4059, device='cuda:0')"
"tensor(3.2702, device='cuda:0')","tensor(-2.2049, device='cuda:0')","tensor(-0.3026, device='cuda:0')"
"tensor(2.5601, device='cuda:0')","tensor(-2.5636, device='cuda:0')","tensor(1.8649, device='cuda:0')"
"tensor(3.8293, device='cuda:0')","tensor(-3.2207, device='cuda:0')","tensor(1.2189, device='cuda:0')"
"tensor(4.5672, device='cuda:0')","tensor(-4.0051, device='cuda:0')","tensor(1.5403, device='cuda:0')"
"tensor(3.2054, device='cuda:0')","tensor(-2.1767, device='cuda:0')","tensor(0.1007, device='cuda:0')"
"tensor(3.6928, device='cuda:0')","tensor(-2.7386, device='cuda:0')","tensor(0.5277, device='cuda:0')"
"tensor(4.3207, device='cuda:0')","tensor(-2.9007, device='cuda:0')","tensor(-0.3658, device='cuda:0')"
"tensor(4.0950, device='cuda:0')","tensor(-2.8087, device='cuda:0')","tensor(0.0912, device='cuda:0')"
"tensor(3.7345, device='cuda:0')","tensor(-3.0466, device='cuda:0')","tensor(1.0216, device='cuda:0')"
"tensor(5.1270, device='cuda:0')","tensor(-4.5371, device='cuda:0')","tensor(1.5733, device='cuda:0')"
"tensor(4.0098, device='cuda:0')","tensor(-2.4744, device='cuda:0')","tensor(-0.7969, device='cuda:0')"
"tensor(1.8007, device='cuda:0')","tensor(-2.1199, device='cuda:0')","tensor(2.2236, device='cuda:0')"
"tensor(4.3771, device='cuda:0')","tensor(-3.4058, device='cuda:0')","tensor(0.7045, device='cuda:0')"
"tensor(4.2061, device='cuda:0')","tensor(-3.3216, device='cuda:0')","tensor(0.8064, device='cuda:0')"
"tensor(3.8546, device='cuda:0')","tensor(-3.2230, device='cuda:0')","tensor(1.1259, device='cuda:0')"
"tensor(4.3115, device='cuda:0')","tensor(-3.2884, device='cuda:0')","tensor(0.5140, device='cuda:0')"
"tensor(4.2309, device='cuda:0')","tensor(-3.3639, device='cuda:0')","tensor(0.8158, device='cuda:0')"
"tensor(5.7459, device='cuda:0')","tensor(-4.1533, device='cuda:0')","tensor(-0.2982, device='cuda:0')"
"tensor(3.1811, device='cuda:0')","tensor(-2.3377, device='cuda:0')","tensor(0.4853, device='cuda:0')"
"tensor(5.5545, device='cuda:0')","tensor(-4.1604, device='cuda:0')","tensor(0.4947, device='cuda:0')"
"tensor(4.7899, device='cuda:0')","tensor(-3.4387, device='cuda:0')","tensor(0.1004, device='cuda:0')"
"tensor(4.4398, device='cuda:0')","tensor(-3.3963, device='cuda:0')","tensor(0.5237, device='cuda:0')"
"tensor(3.3263, device='cuda:0')","tensor(-2.4786, device='cuda:0')","tensor(0.6436, device='cuda:0')"
"tensor(4.0040, device='cuda:0')","tensor(-3.5574, device='cuda:0')","tensor(1.3664, device='cuda:0')"
"tensor(3.7050, device='cuda:0')","tensor(-3.1464, device='cuda:0')","tensor(1.2323, device='cuda:0')"
"tensor(3.5295, device='cuda:0')","tensor(-2.6544, device='cuda:0')","tensor(0.5998, device='cuda:0')"
"tensor(3.5758, device='cuda:0')","tensor(-2.7659, device='cuda:0')","tensor(0.8101, device='cuda:0')"
"tensor(5.2094, device='cuda:0')","tensor(-3.8535, device='cuda:0')","tensor(0.2909, device='cuda:0')"
"tensor(4.7274, device='cuda:0')","tensor(-3.6445, device='cuda:0')","tensor(0.4036, device='cuda:0')"
"tensor(4.1872, device='cuda:0')","tensor(-3.4196, device='cuda:0')","tensor(0.9275, device='cuda:0')"
"tensor(4.3874, device='cuda:0')","tensor(-3.3734, device='cuda:0')","tensor(0.6646, device='cuda:0')"
"tensor(3.7386, device='cuda:0')","tensor(-3.0254, device='cuda:0')","tensor(1.0223, device='cuda:0')"
"tensor(4.2007, device='cuda:0')","tensor(-3.3409, device='cuda:0')","tensor(0.8203, device='cuda:0')"
"tensor(5.8987, device='cuda:0')","tensor(-4.2873, device='cuda:0')","tensor(-0.0153, device='cuda:0')"
"tensor(1.4585, device='cuda:0')","tensor(-2.0281, device='cuda:0')","tensor(2.5154, device='cuda:0')"
"tensor(5.0675, device='cuda:0')","tensor(-3.7623, device='cuda:0')","tensor(0.0720, device='cuda:0')"
"tensor(3.3164, device='cuda:0')","tensor(-2.6142, device='cuda:0')","tensor(0.9319, device='cuda:0')"
"tensor(3.7056, device='cuda:0')","tensor(-2.2476, device='cuda:0')","tensor(-0.5434, device='cuda:0')"
"tensor(4.4758, device='cuda:0')","tensor(-3.6193, device='cuda:0')","tensor(0.8588, device='cuda:0')"
"tensor(3.0988, device='cuda:0')","tensor(-2.4569, device='cuda:0')","tensor(0.6192, device='cuda:0')"
"tensor(4.7210, device='cuda:0')","tensor(-3.4154, device='cuda:0')","tensor(0.2143, device='cuda:0')"
"tensor(3.9384, device='cuda:0')","tensor(-3.1662, device='cuda:0')","tensor(0.9254, device='cuda:0')"
"tensor(4.1485, device='cuda:0')","tensor(-3.0702, device='cuda:0')","tensor(0.5038, device='cuda:0')"
"tensor(4.0431, device='cuda:0')","tensor(-3.2169, device='cuda:0')","tensor(0.7740, device='cuda:0')"
"tensor(0.7473, device='cuda:0')","tensor(-2.0801, device='cuda:0')","tensor(3.4182, device='cuda:0')"
"tensor(3.4145, device='cuda:0')","tensor(-2.5044, device='cuda:0')","tensor(0.3352, device='cuda:0')"
"tensor(5.2568, device='cuda:0')","tensor(-3.6669, device='cuda:0')","tensor(-0.2920, device='cuda:0')"
"tensor(4.3315, device='cuda:0')","tensor(-3.3185, device='cuda:0')","tensor(0.4874, device='cuda:0')"
"tensor(4.2173, device='cuda:0')","tensor(-3.2474, device='cuda:0')","tensor(0.6718, device='cuda:0')"
"tensor(4.7551, device='cuda:0')","tensor(-3.7191, device='cuda:0')","tensor(0.6722, device='cuda:0')"
"tensor(2.9901, device='cuda:0')","tensor(-2.9529, device='cuda:0')","tensor(1.6772, device='cuda:0')"
"tensor(2.8876, device='cuda:0')","tensor(-1.7169, device='cuda:0')","tensor(0.1231, device='cuda:0')"
"tensor(2.1826, device='cuda:0')","tensor(-1.4003, device='cuda:0')","tensor(0.5577, device='cuda:0')"
"tensor(4.9160, device='cuda:0')","tensor(-3.6571, device='cuda:0')","tensor(0.1673, device='cuda:0')"
"tensor(4.5484, device='cuda:0')","tensor(-3.5034, device='cuda:0')","tensor(0.5938, device='cuda:0')"
"tensor(3.3327, device='cuda:0')","tensor(-3.3637, device='cuda:0')","tensor(1.9724, device='cuda:0')"
"tensor(3.7248, device='cuda:0')","tensor(-2.9751, device='cuda:0')","tensor(0.8225, device='cuda:0')"
"tensor(3.9058, device='cuda:0')","tensor(-3.4441, device='cuda:0')","tensor(1.3192, device='cuda:0')"
"tensor(4.3635, device='cuda:0')","tensor(-3.6691, device='cuda:0')","tensor(1.0231, device='cuda:0')"
"tensor(5.0478, device='cuda:0')","tensor(-3.4789, device='cuda:0')","tensor(-0.2321, device='cuda:0')"
"tensor(5.0349, device='cuda:0')","tensor(-3.5551, device='cuda:0')","tensor(-0.1250, device='cuda:0')"
"tensor(4.3064, device='cuda:0')","tensor(-3.2195, device='cuda:0')","tensor(0.4354, device='cuda:0')"
"tensor(3.9266, device='cuda:0')","tensor(-3.5059, device='cuda:0')","tensor(1.3974, device='cuda:0')"
"tensor(3.7977, device='cuda:0')","tensor(-2.7692, device='cuda:0')","tensor(0.1740, device='cuda:0')"
"tensor(3.1617, device='cuda:0')","tensor(-2.7198, device='cuda:0')","tensor(1.3219, device='cuda:0')"
"tensor(4.0051, device='cuda:0')","tensor(-3.1932, device='cuda:0')","tensor(0.9118, device='cuda:0')"
"tensor(4.3370, device='cuda:0')","tensor(-3.3968, device='cuda:0')","tensor(0.7681, device='cuda:0')"
"tensor(4.7265, device='cuda:0')","tensor(-3.6482, device='cuda:0')","tensor(0.5871, device='cuda:0')"
"tensor(6.0499, device='cuda:0')","tensor(-4.6633, device='cuda:0')","tensor(0.0430, device='cuda:0')"
"tensor(4.6926, device='cuda:0')","tensor(-3.5101, device='cuda:0')","tensor(0.4427, device='cuda:0')"
"tensor(3.6260, device='cuda:0')","tensor(-3.2040, device='cuda:0')","tensor(1.3427, device='cuda:0')"
"tensor(1.4190, device='cuda:0')","tensor(-2.5715, device='cuda:0')","tensor(3.2749, device='cuda:0')"
"tensor(5.9256, device='cuda:0')","tensor(-4.2210, device='cuda:0')","tensor(-0.2899, device='cuda:0')"
"tensor(4.3340, device='cuda:0')","tensor(-3.4877, device='cuda:0')","tensor(0.8821, device='cuda:0')"
"tensor(3.4243, device='cuda:0')","tensor(-2.4168, device='cuda:0')","tensor(0.4605, device='cuda:0')"
"tensor(3.2187, device='cuda:0')","tensor(-3.0535, device='cuda:0')","tensor(1.7402, device='cuda:0')"
"tensor(4.3147, device='cuda:0')","tensor(-3.5031, device='cuda:0')","tensor(0.9611, device='cuda:0')"
"tensor(4.6413, device='cuda:0')","tensor(-4.9128, device='cuda:0')","tensor(2.5849, device='cuda:0')"
"tensor(4.7871, device='cuda:0')","tensor(-3.5677, device='cuda:0')","tensor(0.4008, device='cuda:0')"
"tensor(4.8147, device='cuda:0')","tensor(-3.5995, device='cuda:0')","tensor(0.2946, device='cuda:0')"
"tensor(-1.6277, device='cuda:0')","tensor(0.5343, device='cuda:0')","tensor(1.9718, device='cuda:0')"
"tensor(4.0164, device='cuda:0')","tensor(-2.3105, device='cuda:0')","tensor(-1.1439, device='cuda:0')"
"tensor(3.7933, device='cuda:0')","tensor(-2.9153, device='cuda:0')","tensor(0.7580, device='cuda:0')"
"tensor(5.2006, device='cuda:0')","tensor(-3.8559, device='cuda:0')","tensor(0.1548, device='cuda:0')"
"tensor(4.4633, device='cuda:0')","tensor(-3.5551, device='cuda:0')","tensor(0.8111, device='cuda:0')"
"tensor(6.1676, device='cuda:0')","tensor(-4.3720, device='cuda:0')","tensor(-0.3480, device='cuda:0')"
"tensor(3.6911, device='cuda:0')","tensor(-2.7665, device='cuda:0')","tensor(0.6736, device='cuda:0')"
"tensor(2.0564, device='cuda:0')","tensor(-2.0970, device='cuda:0')","tensor(1.5521, device='cuda:0')"
"tensor(4.0608, device='cuda:0')","tensor(-2.9981, device='cuda:0')","tensor(0.4918, device='cuda:0')"
"tensor(4.2082, device='cuda:0')","tensor(-3.1004, device='cuda:0')","tensor(0.4456, device='cuda:0')"
"tensor(3.2836, device='cuda:0')","tensor(-2.4158, device='cuda:0')","tensor(0.6788, device='cuda:0')"
"tensor(4.4505, device='cuda:0')","tensor(-3.5050, device='cuda:0')","tensor(0.7783, device='cuda:0')"
"tensor(1.8959, device='cuda:0')","tensor(-1.8819, device='cuda:0')","tensor(1.6052, device='cuda:0')"
"tensor(4.7054, device='cuda:0')","tensor(-3.0881, device='cuda:0')","tensor(-0.1647, device='cuda:0')"
"tensor(4.5979, device='cuda:0')","tensor(-3.6264, device='cuda:0')","tensor(0.7413, device='cuda:0')"
"tensor(3.3606, device='cuda:0')","tensor(-2.7496, device='cuda:0')","tensor(0.7345, device='cuda:0')"
"tensor(4.5034, device='cuda:0')","tensor(-3.5731, device='cuda:0')","tensor(0.7974, device='cuda:0')"
"tensor(3.0640, device='cuda:0')","tensor(-1.8839, device='cuda:0')","tensor(0.0915, device='cuda:0')"
"tensor(4.7631, device='cuda:0')","tensor(-3.5538, device='cuda:0')","tensor(0.4928, device='cuda:0')"
"tensor(4.0990, device='cuda:0')","tensor(-3.2429, device='cuda:0')","tensor(0.8148, device='cuda:0')"
"tensor(4.8482, device='cuda:0')","tensor(-3.4467, device='cuda:0')","tensor(-0.2266, device='cuda:0')"
"tensor(4.4495, device='cuda:0')","tensor(-3.5447, device='cuda:0')","tensor(0.7064, device='cuda:0')"
"tensor(2.9802, device='cuda:0')","tensor(-2.1721, device='cuda:0')","tensor(0.6346, device='cuda:0')"
"tensor(3.9302, device='cuda:0')","tensor(-3.1034, device='cuda:0')","tensor(0.8522, device='cuda:0')"
"tensor(4.1341, device='cuda:0')","tensor(-3.2841, device='cuda:0')","tensor(0.8468, device='cuda:0')"
"tensor(4.4303, device='cuda:0')","tensor(-3.3045, device='cuda:0')","tensor(0.3526, device='cuda:0')"
"tensor(5.7412, device='cuda:0')","tensor(-4.1277, device='cuda:0')","tensor(-0.1958, device='cuda:0')"
"tensor(5.8487, device='cuda:0')","tensor(-4.3675, device='cuda:0')","tensor(0.0337, device='cuda:0')"
"tensor(3.9080, device='cuda:0')","tensor(-3.2423, device='cuda:0')","tensor(1.0976, device='cuda:0')"
"tensor(4.1440, device='cuda:0')","tensor(-3.3808, device='cuda:0')","tensor(1.0320, device='cuda:0')"
"tensor(4.8541, device='cuda:0')","tensor(-3.6566, device='cuda:0')","tensor(0.3293, device='cuda:0')"
"tensor(5.8333, device='cuda:0')","tensor(-4.1561, device='cuda:0')","tensor(-0.2206, device='cuda:0')"
"tensor(4.7381, device='cuda:0')","tensor(-3.4151, device='cuda:0')","tensor(0.1393, device='cuda:0')"
"tensor(4.3582, device='cuda:0')","tensor(-3.4998, device='cuda:0')","tensor(0.8801, device='cuda:0')"
"tensor(2.2071, device='cuda:0')","tensor(-2.1304, device='cuda:0')","tensor(1.7317, device='cuda:0')"
"tensor(3.0392, device='cuda:0')","tensor(-2.2735, device='cuda:0')","tensor(0.2073, device='cuda:0')"
"tensor(4.8125, device='cuda:0')","tensor(-3.7883, device='cuda:0')","tensor(0.4301, device='cuda:0')"
"tensor(4.1105, device='cuda:0')","tensor(-3.3661, device='cuda:0')","tensor(1.0049, device='cuda:0')"
"tensor(4.0564, device='cuda:0')","tensor(-3.5625, device='cuda:0')","tensor(1.3836, device='cuda:0')"
"tensor(3.9637, device='cuda:0')","tensor(-2.7977, device='cuda:0')","tensor(0.2346, device='cuda:0')"
"tensor(0.7619, device='cuda:0')","tensor(-2.6963, device='cuda:0')","tensor(4.1716, device='cuda:0')"
"tensor(5.2023, device='cuda:0')","tensor(-3.7800, device='cuda:0')","tensor(0.1158, device='cuda:0')"
"tensor(2.3353, device='cuda:0')","tensor(-2.7630, device='cuda:0')","tensor(2.3548, device='cuda:0')"
"tensor(4.1927, device='cuda:0')","tensor(-3.3527, device='cuda:0')","tensor(0.8787, device='cuda:0')"
"tensor(3.9759, device='cuda:0')","tensor(-3.2962, device='cuda:0')","tensor(1.0847, device='cuda:0')"
"tensor(4.9153, device='cuda:0')","tensor(-3.6963, device='cuda:0')","tensor(0.3394, device='cuda:0')"
"tensor(2.5368, device='cuda:0')","tensor(-2.6109, device='cuda:0')","tensor(1.9488, device='cuda:0')"
"tensor(4.6022, device='cuda:0')","tensor(-3.2887, device='cuda:0')","tensor(0.2130, device='cuda:0')"
